crashSeverity,crashYear,region,weatherA,roadSurface,light,trafficControl,urban
Non-Injury Crash,2017,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Minor Crash,2018,Taranaki Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2017,Manawatū-Whanganui Region,Light rain,Sealed,Overcast,Nil,Urban
Minor Crash,2023,Canterbury Region,Mist or Fog,Sealed,Overcast,Nil,Open
Non-Injury Crash,2014,Taranaki Region,Fine,Sealed,Twilight,Give way,Urban
Non-Injury Crash,2013,Marlborough Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2007,Tasman Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2010,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2010,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2018,Wellington Region,Fine,Sealed,Dark,Unknown,Urban
Minor Crash,2023,Auckland Region,Light rain,Sealed,Dark,Give way,Open
Minor Crash,2006,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2019,Southland Region,Hail or Sleet,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2003,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Manawatū-Whanganui Region,Light rain,Sealed,Dark,Give way,Urban
Non-Injury Crash,2025,Hawke's Bay Region,Hail or Sleet,Sealed,Overcast,Nil,Open
Non-Injury Crash,2016,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2025,Tasman Region,Fine,Sealed,Dark,Give way,Open
Minor Crash,2024,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2023,Otago Region,Fine,Sealed,Twilight,Nil,Urban
Non-Injury Crash,2024,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Minor Crash,2004,Waikato Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2005,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2021,Canterbury Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2001,Auckland Region,Heavy rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2001,Manawatū-Whanganui Region,Light rain,Sealed,Overcast,Nil,Urban
Minor Crash,2024,Wellington Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2005,Auckland Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2001,Manawatū-Whanganui Region,Fine,Sealed,Dark,Traffic Signals,Urban
Minor Crash,2021,Waikato Region,Mist or Fog,Sealed,Overcast,Nil,Open
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2022,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2009,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2008,Otago Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2012,Waikato Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2000,Waikato Region,Mist or Fog,Sealed,Overcast,Nil,Urban
Minor Crash,2023,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2021,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2002,Auckland Region,Light rain,Sealed,Dark,Nil,Urban
Minor Crash,2015,Wellington Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2000,Otago Region,Light rain,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2008,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2006,Southland Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2020,Wellington Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2001,Otago Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2005,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2019,Waikato Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2025,Canterbury Region,Fine,Sealed,Twilight,Stop,Urban
Serious Crash,2004,Hawke's Bay Region,Fine,Unsealed,Bright sun,Nil,Open
Non-Injury Crash,2009,Northland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2009,Waikato Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2014,Waikato Region,Fine,Sealed,Twilight,Unknown,Open
Minor Crash,2007,Wellington Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Twilight,Traffic Signals,Urban
Non-Injury Crash,2014,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Serious Crash,2025,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2016,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2018,Canterbury Region,Fine,Sealed,Overcast,Unknown,Urban
Serious Crash,2023,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2004,Otago Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2019,Northland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2025,Hawke's Bay Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2005,Otago Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2008,Taranaki Region,Light rain,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2016,Taranaki Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2005,Northland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2015,Manawatū-Whanganui Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2019,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Serious Crash,2005,Otago Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Fatal Crash,2010,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2022,Manawatū-Whanganui Region,Mist or Fog,Sealed,Dark,Nil,Open
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2015,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Serious Crash,2017,Wellington Region,Light rain,Sealed,Dark,Unknown,Open
Minor Crash,2023,Nelson Region,Fine,Sealed,Twilight,Give way,Urban
Serious Crash,2005,Gisborne Region,Fine,Unsealed,Overcast,Nil,Open
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2001,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2008,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2002,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2015,Canterbury Region,Fine,Sealed,Twilight,Nil,Urban
Minor Crash,2018,Waikato Region,Fine,Sealed,Dark,Unknown,Open
Serious Crash,2019,Waikato Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2010,Waikato Region,Mist or Fog,Sealed,Overcast,Give way,Open
Non-Injury Crash,2018,Northland Region,Mist or Fog,Sealed,Dark,Unknown,Open
Non-Injury Crash,2022,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2019,Waikato Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2001,Bay of Plenty Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2017,Waikato Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2006,Waikato Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2010,Southland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2018,Canterbury Region,Fine,Sealed,Twilight,Unknown,Urban
Non-Injury Crash,2025,Canterbury Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2006,West Coast Region,Light rain,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2003,Tasman Region,Fine,Sealed,Overcast,Give way,Urban
Serious Crash,2016,Canterbury Region,Light rain,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2011,Bay of Plenty Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2014,Otago Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2011,Taranaki Region,Fine,Sealed,Overcast,Give way,Urban
Minor Crash,2007,Tasman Region,Fine,Sealed,Dark,Give way,Urban
Minor Crash,2023,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2021,Canterbury Region,Fine,Sealed,Twilight,Give way,Urban
Non-Injury Crash,2020,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2002,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2002,Waikato Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2001,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Serious Crash,2021,Canterbury Region,Fine,Sealed,Overcast,Stop,Open
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2019,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Serious Crash,2008,Otago Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2013,Waikato Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Twilight,Nil,Open
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2012,Auckland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2010,Canterbury Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Serious Crash,2008,Wellington Region,Light rain,Sealed,Dark,Nil,Urban
Serious Crash,2019,Waikato Region,Fine,Sealed,Twilight,Unknown,Open
Non-Injury Crash,2001,Waikato Region,Light rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2003,Waikato Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2025,Northland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2019,Otago Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2002,Auckland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Serious Crash,2002,Bay of Plenty Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2018,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2025,Auckland Region,Fine,Sealed,Unknown,Nil,Urban
Non-Injury Crash,2014,Bay of Plenty Region,Light rain,Sealed,Overcast,Unknown,Open
Serious Crash,2010,Taranaki Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2002,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2021,Waikato Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2008,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Minor Crash,2005,Bay of Plenty Region,Fine,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2024,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Dark,Unknown,Open
Non-Injury Crash,2020,Wellington Region,Null,Sealed,Unknown,Give way,Urban
Minor Crash,2025,Marlborough Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2023,Auckland Region,Light rain,Sealed,Unknown,Traffic Signals,Urban
Non-Injury Crash,2022,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2009,Taranaki Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Minor Crash,2020,Auckland Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2004,Bay of Plenty Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2007,Waikato Region,Heavy rain,Sealed,Overcast,Nil,Open
Minor Crash,2021,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2023,Wellington Region,Heavy rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2022,Waikato Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2004,Waikato Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Waikato Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2020,West Coast Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2017,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2007,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2010,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Non-Injury Crash,2001,Bay of Plenty Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2021,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2013,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2016,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2001,Canterbury Region,Fine,Sealed,Dark,Traffic Signals,Urban
Serious Crash,2004,Bay of Plenty Region,Heavy rain,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2010,Taranaki Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2024,Waikato Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2008,Wellington Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2014,Taranaki Region,Fine,Sealed,Dark,Nil,Open
Minor Crash,2020,Northland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2006,Manawatū-Whanganui Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2016,Wellington Region,Fine,Sealed,Twilight,Give way,Urban
Non-Injury Crash,2023,Marlborough Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2003,Otago Region,Fine,Unsealed,Overcast,Unknown,Open
Serious Crash,2025,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Serious Crash,2005,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2022,Canterbury Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2012,Bay of Plenty Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2024,Tasman Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2025,Bay of Plenty Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2019,Hawke's Bay Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2023,Waikato Region,Fine,Sealed,Overcast,Nil,Open
Minor Crash,2019,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2009,Auckland Region,Light rain,Sealed,Overcast,Nil,Urban
Serious Crash,2008,Auckland Region,Fine,Sealed,Dark,Nil,Urban
Minor Crash,2024,Canterbury Region,Fine,Sealed,Bright sun,Stop,Open
Non-Injury Crash,2005,Waikato Region,Fine,Unsealed,Bright sun,Unknown,Urban
Minor Crash,2013,Southland Region,Light rain,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2017,Auckland Region,Light rain,Sealed,Overcast,Give way,Open
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2003,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2010,Bay of Plenty Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2014,Gisborne Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2012,Otago Region,Light rain,Sealed,Dark,Give way,Open
Minor Crash,2015,Auckland Region,Fine,Sealed,Bright sun,Unknown,Urban
Minor Crash,2012,Waikato Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2023,Bay of Plenty Region,Mist or Fog,Sealed,Overcast,Nil,Open
Minor Crash,2001,Southland Region,Fine,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2001,Wellington Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2011,Bay of Plenty Region,Fine,Sealed,Dark,Unknown,Urban
Serious Crash,2001,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Minor Crash,2013,Bay of Plenty Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2010,Manawatū-Whanganui Region,Fine,Sealed,Dark,Nil,Open
Minor Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Give way,Urban
Non-Injury Crash,2007,Auckland Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2006,Bay of Plenty Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2023,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Fatal Crash,2014,Manawatū-Whanganui Region,Fine,Sealed,Dark,Unknown,Open
Minor Crash,2004,Manawatū-Whanganui Region,Fine,Sealed,Overcast,Nil,Open
Non-Injury Crash,2023,Southland Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2016,Canterbury Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2020,Wellington Region,Fine,Unsealed,Dark,Nil,Urban
Non-Injury Crash,2013,Wellington Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Bay of Plenty Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2012,Bay of Plenty Region,Fine,Unsealed,Overcast,Unknown,Open
Non-Injury Crash,2003,Canterbury Region,Snow,Sealed,Overcast,Unknown,Open
Non-Injury Crash,2000,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2005,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2008,Wellington Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2008,Waikato Region,Light rain,Sealed,Dark,Give way,Urban
Non-Injury Crash,2014,Auckland Region,Fine,Sealed,Overcast,Give way,Urban
Non-Injury Crash,2019,Auckland Region,Light rain,Sealed,Dark,Give way,Urban
Non-Injury Crash,2014,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Stop,Urban
Non-Injury Crash,2004,Bay of Plenty Region,Null,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2007,Canterbury Region,Mist or Fog,Sealed,Dark,Give way,Urban
Non-Injury Crash,2006,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2016,Hawke's Bay Region,Fine,Sealed,Dark,Give way,Urban
Serious Crash,2017,Hawke's Bay Region,Fine,Sealed,Overcast,Unknown,Open
Minor Crash,2013,Waikato Region,Fine,Sealed,Overcast,Give way,Open
Non-Injury Crash,2016,Auckland Region,Light rain,Sealed,Overcast,Unknown,Urban
Minor Crash,2026,Northland Region,Light rain,Sealed,Dark,Give way,Urban
Minor Crash,2004,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2017,Wellington Region,Fine,Sealed,Bright sun,Unknown,Urban
Non-Injury Crash,2025,Marlborough Region,Fine,Unsealed,Bright sun,Nil,Open
Non-Injury Crash,2001,Wellington Region,Heavy rain,Sealed,Overcast,Nil,Open
Non-Injury Crash,2018,Wellington Region,Fine,Sealed,Bright sun,Unknown,Open
Non-Injury Crash,2018,Auckland Region,Fine,Sealed,Overcast,Traffic Signals,Urban
Non-Injury Crash,2011,Southland Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2009,Nelson Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2022,Auckland Region,Fine,Sealed,Overcast,Stop,Urban
Non-Injury Crash,2001,Auckland Region,Fine,Sealed,Dark,Nil,Open
Non-Injury Crash,2004,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2022,Gisborne Region,Mist or Fog,Sealed,Dark,Give way,Open
Non-Injury Crash,2004,Auckland Region,Light rain,Sealed,Overcast,Unknown,Urban
Non-Injury Crash,2026,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2022,Nelson Region,Fine,Sealed,Bright sun,Nil,Urban
Non-Injury Crash,2006,Waikato Region,Fine,Sealed,Bright sun,Give way,Urban
Minor Crash,2007,Waikato Region,Light rain,Sealed,Dark,Unknown,Open
Non-Injury Crash,2019,Northland Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2015,Bay of Plenty Region,Fine,Sealed,Dark,Traffic Signals,Urban
Non-Injury Crash,2005,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2002,Canterbury Region,Fine,Sealed,Bright sun,Unknown,Urban
Serious Crash,2009,Manawatū-Whanganui Region,Light rain,Unsealed,Overcast,Nil,Open
Non-Injury Crash,2011,Bay of Plenty Region,Fine,Sealed,Overcast,Unknown,Open
Fatal Crash,2007,Manawatū-Whanganui Region,Fine,Sealed,Bright sun,Nil,Open
Non-Injury Crash,2012,Auckland Region,Null,Sealed,Unknown,Give way,Urban
Minor Crash,2023,Auckland Region,Fine,Sealed,Overcast,Nil,Urban
Minor Crash,2006,Wellington Region,Fine,Sealed,Overcast,Nil,Urban
Non-Injury Crash,2002,Auckland Region,Fine,Sealed,Bright sun,Nil,Urban
Minor Crash,2020,Bay of Plenty Region,Fine,Sealed,Overcast,Stop,Open
Non-Injury Crash,2015,Auckland Region,Fine,Sealed,Dark,Unknown,Urban
Non-Injury Crash,2011,Auckland Region,Null,Sealed,Unknown,Give way,Urban
Minor Crash,2014,Auckland Region,Fine,Sealed,Dark,Give way,Open
Non-Injury Crash,2002,Manawatū-Whanganui Region,Fine,Unsealed,Overcast,Nil,Open
Non-Injury Crash,2002,Canterbury Region,Fine,Sealed,Dark,Give way,Urban
Non-Injury Crash,2011,Auckland Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Non-Injury Crash,2003,Hawke's Bay Region,Fine,Sealed,Dark,Nil,Urban
Serious Crash,2007,Canterbury Region,Fine,Sealed,Bright sun,Traffic Signals,Urban
Minor Crash,2020,Canterbury Region,Mist or Fog,Sealed,Overcast,Nil,Urban
Serious Crash,2015,Auckland Region,Fine,Sealed,Overcast,Unknown,Urban
